Datetime,Zone,Value,Trend,Residual
2017-02-13 15:00:00,Zone 1,35532.20339,30903.42274959517,1867.7183116098313
2017-02-13 21:00:00,Zone 1,42099.66101833333,30924.676146325266,1841.0489695469878
2017-02-14 13:00:00,Zone 1,32945.08474666667,30975.764033097887,-1761.6155271474563
2017-02-14 14:00:00,Zone 1,32275.93220333333,30978.47120927884,-1632.5464644354215
2017-02-14 15:00:00,Zone 1,28078.98305,30981.102606907072,-4510.475170016598
2017-02-14 16:00:00,Zone 1,28557.966103333336,30983.654836416772,-3643.72279692801
2017-02-14 17:00:00,Zone 1,29089.83050833333,30986.12503446972,-4308.294503808011
2017-02-14 18:00:00,Zone 1,37495.93220166666,30988.511144243857,-3594.4032514548926
2017-02-14 19:00:00,Zone 1,38586.101695,30990.81196026016,-3461.1011552768614
2017-02-14 20:00:00,Zone 1,37998.305085,30993.02684025215,-3910.713847640647
2017-02-14 21:00:00,Zone 1,36932.54237333333,30995.155766341173,-2902.3087891030664
2017-02-15 09:00:00,Zone 1,26426.440678333336,31014.84316427523,-2305.9303378981167
2017-02-15 10:00:00,Zone 1,28178.644068333335,31016.08176225296,-2856.3116805501013
2017-02-15 11:00:00,Zone 1,30052.881355,31017.271996101834,-3169.2214080123376
2017-02-16 16:00:00,Zone 1,31673.89830333333,31052.022504160006,-1760.2924411594759
2017-02-19 12:00:00,Zone 1,30230.847456666666,31460.14844777309,-2160.2027412332973
2017-02-19 18:00:00,Zone 1,41199.66101833333,31498.487104029387,1872.3397248374386
2017-02-20 17:00:00,Zone 1,38658.305085,31576.962711500666,2587.3281293644613
2017-02-21 12:00:00,Zone 1,37352.54237333334,31578.111873472797,1832.828971700892
2017-02-21 13:00:00,Zone 1,38071.525425,31577.20535657034,2264.4634016402997
2017-02-21 14:00:00,Zone 1,37189.83050833333,31576.225068722273,1829.6571961859263
2017-02-21 15:00:00,Zone 1,36151.52542333333,31575.173443456813,1793.7473421152827
2017-02-21 17:00:00,Zone 1,37351.52542333333,31572.8643432431,2549.27120654385
2017-02-22 07:00:00,Zone 1,25612.881355,31549.72112248293,1785.2608795790438
2017-02-22 08:00:00,Zone 1,28191.864408333335,31547.630147854205,1690.580858037447
2017-02-22 19:00:00,Zone 1,42101.69491666667,31521.388932652113,-1727.3818118979761
2017-02-22 20:00:00,Zone 1,42027.457625,31518.731302078548,-1783.9190093196376
2017-02-22 21:00:00,Zone 1,40299.661016666665,31516.03312658691,-1595.7611152171048
2017-02-23 12:00:00,Zone 1,38513.89830666667,31471.577164235863,2033.0984474769466
2017-03-02 11:00:00,Zone 1,32082.38298,30947.280502783313,-2024.3282085979445
2017-03-02 12:00:00,Zone 1,33054.63829833333,30948.161609867442,-1888.6000415160452
2017-03-08 19:00:00,Zone 1,45448.851063333335,31188.635358096624,1835.449431873756
2017-03-08 20:00:00,Zone 1,46439.48936166667,31187.312054573886,2605.3943654545146
2017-03-08 21:00:00,Zone 1,44317.276595,31185.968959520764,2155.3903101641954
2017-03-08 22:00:00,Zone 1,40614.12765833333,31184.60467507481,2002.7348787549745
2017-03-09 19:00:00,Zone 1,41514.893618333335,31150.16891239618,-1735.6011008214118
2017-03-09 20:00:00,Zone 1,41502.6383,31148.28111197033,-1831.2103375709048
2017-03-14 13:00:00,Zone 1,33628.595745,31321.077542249004,-1667.4184246797195
2017-03-15 17:00:00,Zone 1,36040.851065,31388.631250746505,1986.911240496789
2017-03-16 12:00:00,Zone 1,38144.68085166667,31398.488992457504,1944.254686930326
2017-03-16 13:00:00,Zone 1,38195.74468,31398.235862764726,2413.552403903428
2017-03-16 14:00:00,Zone 1,37111.148935,31397.911558428186,2243.8974237574184
2017-03-16 15:00:00,Zone 1,36306.382978333335,31397.516826000166,1967.240409837541
2017-03-16 16:00:00,Zone 1,35761.02127666667,31397.05241861781,2206.090156100774
2017-03-16 17:00:00,Zone 1,35885.617021666665,31396.518896778456,2518.306955916225
2017-03-16 18:00:00,Zone 1,41169.70212833334,31395.91655260356,1701.680773062395
2017-03-19 10:00:00,Zone 1,30687.31915,31177.47555691738,1762.5496503109534
2017-03-21 09:00:00,Zone 1,26937.191488333334,30872.217700361572,-1600.3909690276596
2017-03-21 10:00:00,Zone 1,28802.042553333333,30866.662290058808,-2294.548982904478
2017-03-21 11:00:00,Zone 1,30299.234041666667,30861.207099110296,-2164.7130613394693
2017-03-26 19:00:00,Zone 1,43888.340425,31056.60096988451,1705.9124011634085
2017-03-26 20:00:00,Zone 1,44697.19148833334,31062.83424992292,1744.3298034308682
2017-03-27 11:00:00,Zone 1,37037.617021666665,31159.21392212452,2375.4948041446805
2017-03-28 11:00:00,Zone 1,29925.446808333334,31319.706951731707,-3934.470366149457
2017-03-28 23:00:00,Zone 1,27982.97872166667,31388.015346145887,-2587.5857327274134
2017-03-29 00:00:00,Zone 1,24418.723401666666,31393.126756487018,-2090.6623063278857
2017-03-29 19:00:00,Zone 1,47172.76595666667,31471.325367394886,1685.203543052863
2017-04-01 20:00:00,Zone 1,45439.31108666666,31480.13639987234,1682.5038391320413
2017-04-02 11:00:00,Zone 1,29880.904198333334,31449.660333567415,-2182.975893663177
2017-04-02 12:00:00,Zone 1,30542.260495,31447.30171388855,-1748.2277907427888
2017-04-02 18:00:00,Zone 1,30593.928955,31432.499482195486,-1708.5631011820478
2017-04-09 18:00:00,Zone 1,33976.146393333336,31241.27027865942,2015.249568998861
2017-04-10 11:00:00,Zone 1,31670.699676666667,31215.714314426717,-2623.080058767624
2017-04-20 12:00:00,Zone 1,25135.672765,31096.719468680756,-9259.905992222662
2017-04-20 13:00:00,Zone 1,26646.458558333336,31095.951992166043,-7325.795075437189
2017-04-20 14:00:00,Zone 1,26328.180836666666,31095.115239476825,-6847.580009193185
2017-04-20 15:00:00,Zone 1,26119.440261666667,31094.209888634578,-6618.507706795226
2017-04-20 16:00:00,Zone 1,25538.68676,31093.237161071607,-6292.12256709471
2017-04-20 17:00:00,Zone 1,25485.98492833333,31092.19877581505,-6151.902965418358
2017-04-20 18:00:00,Zone 1,28221.31324,31091.096939110623,-6201.024402248357
2017-04-20 19:00:00,Zone 1,38414.467168333336,31089.934399292153,-4165.622573181838
2017-04-20 20:00:00,Zone 1,38565.33907333333,31088.714431804496,-4208.753664753171
2017-04-20 21:00:00,Zone 1,35907.51345333333,31087.440716067864,-4451.534358735356
2017-04-20 22:00:00,Zone 1,32022.04521,31086.117208162883,-3822.037381640155
2017-04-20 23:00:00,Zone 1,27656.060278333334,31084.74810383308,-2855.4416429834746
2017-04-21 00:00:00,Zone 1,24332.74488833333,31083.337700503223,-2288.2463273563408
2017-04-21 01:00:00,Zone 1,22202.970936666665,31081.890565605845,-1960.4619861062129
2017-04-21 09:00:00,Zone 1,35671.905275,31069.665604924885,3124.569065250289
2017-04-21 10:00:00,Zone 1,39382.734123333335,31068.150521439617,3575.23427654025
2017-04-21 11:00:00,Zone 1,41506.307856666666,31066.659774343992,3548.5657774641804
2017-04-21 12:00:00,Zone 1,40157.761033333336,31065.199262792266,5082.332277471214
2017-04-21 13:00:00,Zone 1,38984.88697666667,31063.774626059323,4412.650659743307
2017-04-21 14:00:00,Zone 1,38564.305705,31062.391201495582,4534.440037020551
2017-04-21 15:00:00,Zone 1,38298.72982,31061.05413794905,4916.3675507015105
2017-04-21 16:00:00,Zone 1,36286.75995666667,31059.768362621548,3755.203883041726
2017-04-21 17:00:00,Zone 1,34153.88589666667,31058.538524282794,2229.5925065234514
2017-04-21 18:00:00,Zone 1,36346.69537166667,31057.36921150969,1982.0214607280177
2017-04-22 18:00:00,Zone 1,36359.09580333334,31059.152622024358,1845.2517715873219
2017-04-24 10:00:00,Zone 1,31442.325081666666,31217.868529874748,-1817.3313710480688
2017-05-01 05:00:00,Zone 1,18836.983608333332,30825.206012485247,-1774.9463477144418
2017-05-01 06:00:00,Zone 1,18601.967213333333,30825.456278254842,-3223.3885370421667
2017-05-01 07:00:00,Zone 1,19919.737705,30825.78703738711,-3574.3212096081224
2017-05-01 08:00:00,Zone 1,22958.163935,30826.197128954325,-3067.986983142335
2017-05-01 09:00:00,Zone 1,26886.29508333333,30826.685435399904,-2268.256990274138
2017-05-01 10:00:00,Zone 1,29993.967213333333,30827.250741711046,-2120.8389955209386
2017-05-01 11:00:00,Zone 1,32098.62295,30827.891642329592,-1963.9881911139237
2017-05-01 12:00:00,Zone 1,32740.721311666668,30828.606466859295,-1919.6233067348512
2017-05-01 13:00:00,Zone 1,32058.754100000002,30829.393396435793,-1989.2151443092698
2017-05-01 14:00:00,Zone 1,31173.24590166667,30830.250616756173,-2103.7148261503207
2017-05-01 15:00:00,Zone 1,30457.70492,30831.17648635841,-2246.533449701754
2017-05-01 16:00:00,Zone 1,29796.721309999997,30832.169645658443,-2433.823199739989
2017-05-01 17:00:00,Zone 1,29326.688523333334,30833.22910318037,-2970.5064907895357
2017-05-01 18:00:00,Zone 1,30692.721311666668,30834.354069924506,-3305.194798043849
2017-05-01 19:00:00,Zone 1,39858.360655000004,30835.543965782803,-2597.9169183403937
2017-05-02 08:00:00,Zone 1,28506.229506666667,30857.06610101619,1974.931433812224
2017-05-02 09:00:00,Zone 1,31108.19672333333,30859.22719473184,1703.4428725147263
2017-05-02 10:00:00,Zone 1,34345.96721166667,30861.470949059534,1829.169125964996
2017-05-03 08:00:00,Zone 1,24099.67212833333,30937.25746983459,-2666.6289360470037
2017-05-03 09:00:00,Zone 1,26833.836066666667,30942.089724319612,-2809.162259736375
2017-05-03 10:00:00,Zone 1,29534.426228333334,30947.051550421416,-2983.674034448479
2017-05-03 11:00:00,Zone 1,31110.295083333334,30952.143712527406,-2937.807828265035
2017-05-03 12:00:00,Zone 1,31223.606556666666,30957.367148607886,-2979.804126366049
2017-05-03 13:00:00,Zone 1,31087.213115000002,30962.722534969005,-2661.2275980842314
2017-05-03 14:00:00,Zone 1,30868.983606666665,30968.209660132397,-2123.03352276847
2017-05-04 17:00:00,Zone 1,34318.688525,31160.490685633336,2270.1623007255585
2017-05-04 18:00:00,Zone 1,36811.54098333333,31169.067894619897,3047.7256526409037
2017-05-04 19:00:00,Zone 1,43979.54098166667,31177.73778379394,1857.2049892680334
2017-05-09 08:00:00,Zone 1,25404.85246,31968.719986575015,-2973.3585465303986
2017-05-09 09:00:00,Zone 1,28254.42623,31971.279164885338,-2829.6386352388654
2017-05-09 10:00:00,Zone 1,31618.098361666664,31973.797105161822,-2201.1850901841535
2017-05-10 09:00:00,Zone 1,32883.40983833333,32028.756123553427,1735.8258107981565
2017-05-13 15:00:00,Zone 1,30703.213115000002,32165.568837573257,-2365.084648340555
2017-05-14 06:00:00,Zone 1,19353.18033,32177.577970903018,-1680.1063527788792
2017-05-19 12:00:00,Zone 1,33972.45901666667,32417.055587496998,-1595.2220496886112
2017-05-19 13:00:00,Zone 1,34064.786885,32421.43015225761,-1683.4235374941636
2017-05-19 15:00:00,Zone 1,32539.278688333332,32430.161565578834,-1905.948008692896
2017-05-20 00:00:00,Zone 1,28993.04917833333,32469.335882817926,-1635.2302620449045
2017-05-20 17:00:00,Zone 1,31238.29508333333,32546.24293623792,-1911.0110941819912
2017-05-20 18:00:00,Zone 1,32211.934425,32550.965478338767,-2057.3937816093676
2017-05-20 19:00:00,Zone 1,38849.049179999995,32555.71849969394,-2015.8810961234412
2017-05-25 02:00:00,Zone 1,26233.704916666666,33355.56238434585,-2406.359029997875
2017-05-25 03:00:00,Zone 1,25826.622951666664,33363.334268880666,-1753.9704856083117
2017-05-26 02:00:00,Zone 1,27060.459016666664,33518.35899308079,-3292.169512580036
2017-05-26 03:00:00,Zone 1,26527.47541,33524.2404623029,-1994.01770108446
2017-05-26 10:00:00,Zone 1,35151.737705,33563.86056640431,1765.8930385702333
2017-05-26 18:00:00,Zone 1,35241.96721333333,33606.78535585865,-2364.093827630666
2017-05-26 19:00:00,Zone 1,41341.901640000004,33612.0187631241,-1729.729486102071
2017-05-26 22:00:00,Zone 1,45469.37704833333,33627.529820606425,1781.2922324026804
2017-05-26 23:00:00,Zone 1,41155.14754,33632.633510558546,1826.8618029181307
2017-05-27 02:00:00,Zone 1,36895.47541000001,33647.728103623864,2982.6157154792527
2017-05-27 03:00:00,Zone 1,32877.114754999995,33652.68411154683,2181.638044451727
2017-05-27 08:00:00,Zone 1,24122.75409833333,33676.879166332226,-1983.4868610062076
2017-05-27 09:00:00,Zone 1,27159.081965,33681.60362034227,-1941.4636543781853
2017-05-27 10:00:00,Zone 1,30459.803278333333,33686.292371778596,-1693.3094004390732
2017-05-27 19:00:00,Zone 1,45769.44262166667,33727.217891849374,2012.7785283922058
2017-05-28 02:00:00,Zone 1,37925.77049166666,33758.189172428356,2401.543540455321
2017-05-28 17:00:00,Zone 1,36356.19672166667,33825.7516283307,2544.990048661137
2017-05-28 18:00:00,Zone 1,39952.786883333334,33830.37574525378,3240.8622746412875
2017-05-31 11:00:00,Zone 1,29920.52459,34170.01087030563,-2822.930276840176
2017-05-31 12:00:00,Zone 1,32404.983606666665,34173.83951647758,-1641.4813022164453
2017-06-02 17:00:00,Zone 1,38253.77483333334,34296.89555091289,1830.1569714616708
2017-06-02 18:00:00,Zone 1,42278.145695,34298.58498383055,2275.876310284926
2017-06-03 11:00:00,Zone 1,34617.21854166667,34329.88272295265,1837.9663333193457
2017-06-03 12:00:00,Zone 1,35861.19205333333,34331.89766827673,1738.404124487497
2017-06-03 13:00:00,Zone 1,36700.39735,34333.92708043977,2542.689293023759
2017-06-03 14:00:00,Zone 1,36768.21192,34335.96881702884,2261.232709276468
2017-06-03 15:00:00,Zone 1,36537.21854666666,34338.02110703838,1840.8389007436344
2017-06-03 16:00:00,Zone 1,36865.695365,34340.08276689793,2089.070280391097
2017-06-04 13:00:00,Zone 1,28460.927151666667,34382.41168697478,-2140.4877453415756
2017-06-04 14:00:00,Zone 1,28441.854301666666,34384.21009006028,-2750.3292059935156
2017-06-04 15:00:00,Zone 1,28819.072846666666,34385.976613015664,-3136.434938735896
2017-06-04 16:00:00,Zone 1,29156.02649,34387.710632578535,-2990.130726244959
2017-06-04 17:00:00,Zone 1,31972.450331666667,34389.41182640971,-2164.2675479588434
2017-06-06 10:00:00,Zone 1,27988.344371666666,34434.824305324066,-1885.1422729687329
2017-06-06 11:00:00,Zone 1,29910.463576666665,34435.39490080761,-1955.9520462777473
2017-06-06 13:00:00,Zone 1,34990.19867666667,34436.47207433734,1991.3805427898405
2017-06-07 12:00:00,Zone 1,31614.304634999997,34450.147352304746,-1937.5795847416448
2017-06-07 13:00:00,Zone 1,29624.370861666666,34451.37556340474,-3751.76700481413
2017-06-07 14:00:00,Zone 1,31578.278145,34452.71649528537,-2793.2209694090016
2017-06-14 10:00:00,Zone 1,29666.754968333335,35094.18396599598,-1971.6438192680653
2017-06-20 07:00:00,Zone 1,26625.695365000003,36164.5870980092,1702.6960674746151
2017-06-20 08:00:00,Zone 1,29183.57616,36172.970798604685,2303.296492330759
2017-06-20 09:00:00,Zone 1,32216.158939999998,36181.350062152254,2646.3268283158395
2017-06-20 10:00:00,Zone 1,33517.350991666666,36189.7256545488,2208.2389596485227
2017-06-20 14:00:00,Zone 1,39328.21192,36223.17213884068,1753.0065074279482
2017-06-23 11:00:00,Zone 1,34994.437086666665,35771.63447975046,1880.2492687908161
2017-06-23 17:00:00,Zone 1,38393.642385,35585.61499704451,1682.2589999196643
2017-06-23 18:00:00,Zone 1,41032.05297833333,35553.07187257509,2748.704481212226
2017-06-23 19:00:00,Zone 1,46881.05960166667,35520.13580285612,3471.067581626994
2017-06-23 20:00:00,Zone 1,48648.47682166666,35486.82470199154,2896.094733588143
2017-06-23 21:00:00,Zone 1,48631.52317833333,35453.156801907884,2773.9486370364393
2017-06-23 22:00:00,Zone 1,48349.66887666666,35419.15071396093,2339.433950792867
2017-06-23 23:00:00,Zone 1,47050.596026666666,35384.825417175176,2311.652798749259
2017-06-24 00:00:00,Zone 1,44744.900663333334,35350.19997188297,2423.20625522764
2017-06-24 01:00:00,Zone 1,43668.34436833334,35315.29357103953,2986.3108162591016
2017-06-24 02:00:00,Zone 1,43242.384105,35280.12558095953,3089.9847486827202
2017-06-24 03:00:00,Zone 1,36700.39735166667,35244.715508403504,1923.5072241186426
2017-06-24 15:00:00,Zone 1,37054.304635,34807.80668921545,1749.6645057863498
2017-06-24 16:00:00,Zone 1,37234.437085,34770.93787715778,2142.2545207582734
2017-06-24 17:00:00,Zone 1,38205.03311333333,34734.07754992913,2305.9003844687613
2017-06-24 18:00:00,Zone 1,39953.37748333334,34697.24242973569,2539.7002903036555
2017-06-24 19:00:00,Zone 1,46052.45033,34660.44882101279,3548.122941739821
2017-06-24 20:00:00,Zone 1,46965.827815,34623.712328812,1681.7208747754848
2017-06-25 01:00:00,Zone 1,41731.39073,34441.37586572417,2198.2986616776325
2017-06-25 02:00:00,Zone 1,40665.430465000005,34405.26656654569,2377.2318179089125
2017-06-25 09:00:00,Zone 1,25960.2649,34157.11761533424,1979.7063695125034
2017-06-25 10:00:00,Zone 1,28889.006624999998,34122.422995757974,2425.656311462968
2017-06-25 11:00:00,Zone 1,32061.45695333333,34087.93621100892,2850.6472167393076
2017-06-25 12:00:00,Zone 1,33629.668875,34053.66222345177,2916.181406943906
2017-06-25 13:00:00,Zone 1,35089.80132333333,34019.60525785712,3365.8413235727785
2017-06-25 14:00:00,Zone 1,35191.52317833334,33985.76884139057,3371.3623327160094
2017-06-25 15:00:00,Zone 1,35967.152318333334,33952.155760436115,4211.08022994623
2017-06-25 16:00:00,Zone 1,36098.543046666666,33918.768302245386,4469.093744981379
2017-06-25 17:00:00,Zone 1,36903.84105833333,33885.60823590149,4616.025971429277
2017-06-25 18:00:00,Zone 1,38400.0,33852.67660736313,4569.95594155859
2017-06-25 19:00:00,Zone 1,43602.649005,33819.97380240392,4837.259068035375
2017-06-25 20:00:00,Zone 1,46052.45033,33787.49958993526,3489.7330716311044
2017-06-25 21:00:00,Zone 1,47188.344371666666,33755.2529778879,3786.411775175802
2017-06-25 22:00:00,Zone 1,47624.900663333334,33723.23209808644,3854.6690198988217
2017-06-25 23:00:00,Zone 1,45874.43708333333,33691.43416314377,3510.952417981818
2017-06-26 00:00:00,Zone 1,43244.50331166667,33659.855533655915,3697.495183936495
2017-06-26 01:00:00,Zone 1,39896.15894166666,33628.49169133686,2928.205304131945
2017-06-26 02:00:00,Zone 1,36975.89404166667,33597.3372294855,1691.351897612345
2017-06-26 03:00:00,Zone 1,34055.62913833334,33566.385811525935,2271.887789256827
2017-06-26 04:00:00,Zone 1,29247.152318333334,33535.630229241666,1951.6844256344848
2017-06-26 07:00:00,Zone 1,25725.033111666668,33444.46380195985,2041.9496880938095
2017-06-26 10:00:00,Zone 1,28361.324503333333,33354.796009893405,-1995.46817895618
2017-06-26 11:00:00,Zone 1,29298.013245,33325.2054588979,-3633.944751017025
2017-06-26 12:00:00,Zone 1,30366.092713333335,33295.752343780696,-4080.8033680705958
2017-06-26 13:00:00,Zone 1,31029.403973333334,33266.43057864098,-3887.8044006376695
2017-06-26 14:00:00,Zone 1,30138.278145,33237.23499613179,-4733.136018378755
2017-06-26 15:00:00,Zone 1,28619.86755,33208.16128523816,-5554.129876422725
2017-06-26 16:00:00,Zone 1,27262.51655666667,33179.206055086215,-6171.847901891415
2017-06-26 17:00:00,Zone 1,26978.543043333335,33150.36682101057,-6357.666246596611
2017-06-26 18:00:00,Zone 1,27388.60927,33121.64184883319,-6447.567246680264
2017-06-26 19:00:00,Zone 1,30241.05960333333,33093.0299453092,-7810.234058247686
2017-06-26 20:00:00,Zone 1,36965.29801333333,33064.53053555711,-5953.800142262458
2017-06-26 21:00:00,Zone 1,37669.933775000005,33036.14362208195,-5656.2997724521665
2017-06-26 22:00:00,Zone 1,38543.04635833333,33007.869678493335,-4891.639868312672
2017-06-26 23:00:00,Zone 1,36671.78807833333,32979.709662835136,-4567.016810327932
2017-06-27 00:00:00,Zone 1,33083.97351166666,32951.66507936284,-4593.06253327362
2017-06-27 01:00:00,Zone 1,29334.039735,32923.737947048954,-5127.299663327267
2017-06-27 02:00:00,Zone 1,26822.781456666668,32895.93093414582,-5647.806668109653
2017-06-27 03:00:00,Zone 1,25659.337750000002,32868.247496836644,-4501.726768132088
2017-06-27 04:00:00,Zone 1,23590.99338,32840.691910136586,-2936.408098056232
2017-06-27 05:00:00,Zone 1,19806.092715000002,32813.26901474261,-2453.537009022377
2017-06-27 06:00:00,Zone 1,19726.622516666666,32785.983931249546,-2140.908665815943
2017-06-27 07:00:00,Zone 1,20535.099338333333,32758.842099310106,-3163.243452108174
2017-06-27 08:00:00,Zone 1,21747.284770000002,32731.84951348066,-3605.575736598119
2017-06-27 09:00:00,Zone 1,23980.927150000003,32705.012908997058,-3407.1843361182364
2017-06-27 10:00:00,Zone 1,26678.675495,32678.339924611915,-2455.694141153115
2017-06-27 11:00:00,Zone 1,28824.370863333334,32651.839182254644,-2251.6760405316127
2017-06-27 12:00:00,Zone 1,30031.258278333335,32625.519997661708,-2733.017322596599
2017-06-27 13:00:00,Zone 1,30807.947020000003,32599.391868072027,-3340.8658431532313
2017-06-27 14:00:00,Zone 1,31147.01986666667,32573.46446692904,-3081.299105160346
2017-06-27 15:00:00,Zone 1,30549.403973333334,32547.7481022302,-3452.3065982780063
2017-06-27 16:00:00,Zone 1,29710.198675000003,32522.253778602437,-3399.3916733408114
2017-06-27 17:00:00,Zone 1,28886.88742,32496.993092640336,-3966.6773551743936
2017-06-27 18:00:00,Zone 1,28581.721855,32471.978069509703,-4503.897741795969
